Date,Order Ref. / Order Valid Date / Channel,Exch,Stock,Buy/Sell,Qty,Price,Status,Open,Executed,Cancelled,Expired,Margin Amt. Blocked,Discl. Qty,Stop Loss Price,Segment /  Settl.
3/4/2022 12:51,20220304N800042868,NSE,PIDIND,Sell,1,2275.3,Executed,0,1,0,0,0,0,0,Rolling/2022043
3/4/2022 12:40,20220304N800041650,NSE,PIDIND,Buy,1,2271,Executed,0,1,0,0,0,0,0,Rolling/2022043
3/4/2022 12:33,20220304N800040902,NSE,PIDIND,Buy,2,2251.9,Executed,0,2,0,0,0,0,0,Rolling/2022043
3/4/2022 12:31,20220304N800040747,NSE,AVESUP,Buy,2,4201.05,Executed,0,2,0,0,0,0,0,Rolling/2022043
3/4/2022 12:31,20220304N800040663,NSE,AVESUP,Buy,2,4201.3,Executed,0,2,0,0,0,0,0,Rolling/2022043
3/4/2022 10:08,20220304N800017766,NSE,HINDAL,Buy,2,609.1,Executed,0,2,0,0,0,0,0,Rolling/2022043
3/4/2022 9:53,20220304N800014641,NSE,TATSTE,Buy,1,1312.7,Executed,0,1,0,0,0,0,0,Rolling/2022043
3/4/2022 9:49,20220304N800013852,NSE,BHAELE,Sell,2,219.8,Executed,0,2,0,0,0,0,0,Rolling/2022043
3/4/2022 9:31,20220304N800009203,NSE,GNFC,Buy,2,594.6,Executed,0,2,0,0,0,0,0,Rolling/2022043
3/4/2022 9:24,20220304N800006954,NSE,PIDIND,Sell,2,2297.55,Executed,0,2,0,0,0,0,0,Rolling/2022043
3/4/2022 9:18,20220304N800004883,NSE,ONE97,Sell,2,787.2,Executed,0,2,0,0,0,0,0,Rolling/2022043
3/4/2022 9:17,20220304N800004636,NSE,AVESUP,Sell,2,4221.05,Executed,0,2,0,0,0,0,0,Rolling/2022043
3/2/2022 15:14,20220302N800056301,NSE,AVESUP,Sell,2,4295.35,Executed,0,2,0,0,0,0,0,Rolling/2022041
3/2/2022 9:48,20220302N800012622,NSE,AVESUP,Buy,1,4382.6,Executed,0,1,0,0,0,0,0,Rolling/2022041
3/2/2022 9:45,20220302N800011887,NSE,AVESUP,Buy,1,4390,Executed,0,1,0,0,0,0,0,Rolling/2022041
3/2/2022 9:43,20220302N800011528,NSE,AVESUP,Buy,1,4403.1,Executed,0,1,0,0,0,0,0,Rolling/2022041
3/2/2022 9:16,20220302N800003758,NSE,AVESUP,Sell,1,4420,Executed,0,1,0,0,0,0,0,Rolling/2022041
2/28/2022 15:21,20220228N800052010,NSE,BERPAI,Buy,2,692.25,Executed,0,2,0,0,0,0,0,Rolling/2022040
2/28/2022 15:21,20220228N800051998,NSE,TATSTE,Buy,2,1223.55,Executed,0,2,0,0,0,0,0,Rolling/2022040
2/28/2022 15:21,20220228N800051997,NSE,HDFBAN,Sell,2,1425.45,Executed,0,2,0,0,0,0,0,Rolling/2022040
2/28/2022 15:21,20220228N800051974,NSE,AVESUP,Sell,2,4349.95,Executed,0,2,0,0,0,0,0,Rolling/2022040
2/28/2022 12:41,20220228N800033808,NSE,AVESUP,Buy,2,4215.7,Executed,0,2,0,0,0,0,0,Rolling/2022040
2/28/2022 12:12,20220228N800031458,NSE,HDFBAN,Buy,2,1434.65,Executed,0,2,0,0,0,0,0,Rolling/2022040
2/28/2022 9:35,20220228N800008548,NSE,TATSTE,Sell,2,1120,Executed,0,2,0,0,0,0,0,Rolling/2022040
2/28/2022 9:28,20220228N800006931,NSE,BERPAI,Sell,2,635,Executed,0,2,0,0,0,0,0,Rolling/2022040
2/25/2022 11:03,20220225N800030127,NSE,MATCOM,Buy,2,735.1,Executed,0,2,0,0,0,0,0,Rolling/2022039
2/25/2022 10:47,20220225N800027829,NSE,UNIP,Buy,3,655.35,Executed,0,3,0,0,0,0,0,Rolling/2022039
2/25/2022 10:06,20220225N800021210,NSE,TCS,Sell,1,3495,Executed,0,1,0,0,0,0,0,Rolling/2022039
2/25/2022 9:58,20220225N800019652,NSE,NEWSOF,Sell,3,500,Cancelled,0,0,3,0,0,0,0,Rolling/2022039
2/25/2022 9:52,20220225N800018095,NSE,BHEL,Buy,10,48.55,Executed,0,10,0,0,0,0,0,Rolling/2022039
2/25/2022 9:20,20220225N800007651,NSE,HINDAL,Sell,2,540,Executed,0,2,0,0,0,0,0,Rolling/2022039
2/25/2022 9:20,20220225N800007534,NSE,HINDAL,Buy,2,527.85,Executed,0,2,0,0,0,0,0,Rolling/2022039
2/25/2022 9:17,20220225N800006430,NSE,TCS,Buy,1,3474.4,Executed,0,1,0,0,0,0,0,Rolling/2022039
2/25/2022 9:17,20220225N800006344,NSE,NEWSOF,Buy,3,485.9,Executed,0,3,0,0,0,0,0,Rolling/2022039
2/25/2022 9:16,20220225N800006220,NSE,UNIP,Buy,3,660,Executed,0,3,0,0,0,0,0,Rolling/2022039
2/25/2022 9:16,20220225N800005970,NSE,STABAN,Buy,2,483.8,Executed,0,2,0,0,0,0,0,Rolling/2022039
2/24/2022 15:21,20220224N800097166,NSE,STABAN,Sell,2,471.9,Executed,0,2,0,0,0,0,0,Rolling/2022038
2/24/2022 9:16,20220224N800005073,NSE,STABAN,Sell,2,500,Cancelled,0,0,2,0,0,0,0,Rolling/2022038
2/24/2022 9:15,20220224N800004668,NSE,STABAN,Buy,2,484.4,Executed,0,2,0,0,0,0,0,Rolling/2022038
2/23/2022 15:21,20220223N800037852,NSE,SUBROS,Sell,5,368.35,Executed,0,5,0,0,0,0,0,Rolling/2022037
2/23/2022 9:35,20220223N800008372,NSE,SUBROS,Sell,5,380,Cancelled,0,0,5,0,0,0,0,Rolling/2022037
2/23/2022 9:33,20220223N800008031,NSE,SUBROS,Buy,5,361,Executed,0,5,0,0,0,0,0,Rolling/2022037
2/23/2022 9:25,20220223N800006312,NSE,CEINFO,Sell,1,1450,Executed,0,1,0,0,0,0,0,Rolling/2022037
2/23/2022 9:23,20220223N800005913,NSE,CEINFO,Buy,1,1398.55,Executed,0,1,0,0,0,0,0,Rolling/2022037
12/31/2021 15:20,20220308N800057576,NSE,NATPHA,Sell,3,847.6,Executed,0,3,0,0,0,0,0,Rolling/2022045
12/31/2021 15:20,20220308N800057571,NSE,PIDIND,Sell,2,2179.65,Executed,0,2,0,0,0,0,0,Rolling/2022045
12/31/2021 15:20,20220308N800057553,NSE,AVESUP,Sell,2,4128.1,Executed,0,2,0,0,0,0,0,Rolling/2022045
12/31/2021 9:17,20220308N800008958,NSE,PIDIND,Buy,2,2162,Executed,0,2,0,0,0,0,0,Rolling/2022045
12/31/2021 9:17,20220308N800004798,NSE,AVESUP,Buy,2,4034.3,Executed,0,2,0,0,0,0,0,Rolling/2022045
12/31/2021 9:17,20220308N800004341,NSE,NATPHA,Buy,3,885.95,Executed,0,3,0,0,0,0,0,Rolling/2022045
